Player,Opponent,Player_Score,Opponent_Score,Result,Table Points,Gameweek,GW Rank,Luck Points,Player_Rank,Opponent_Rank,Luck_Factor,Score_Difference
In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,Shaw's Wank Redemption ⭐️,39,50,Lose,0,1,9.0,0,9.0,2.0,-7.0,11
Shaw's Wank Redemption ⭐️,In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,50,39,Win,3,1,2.0,3,2.0,9.0,7.0,11
Fish⭐⭐⭐⭐,Warren Barton's Bowl Cut,49,41,Win,3,1,3.0,3,3.0,6.5,3.5,8
Warren Barton's Bowl Cut,Fish⭐⭐⭐⭐,41,49,Lose,0,1,6.0,1,6.5,3.0,-3.5,8
Team Marsh,Toney Rocky HorrorMikey Wade,40,47,Lose,0,1,8.0,0,8.0,4.0,-4.0,7
Toney Rocky HorrorMikey Wade,Team Marsh,47,40,Win,3,1,4.0,3,4.0,8.0,4.0,7
Balls ,Stephen Hawking’s football boots ⭐️,43,34,Win,3,1,5.0,1,5.0,10.0,5.0,9
Stephen Hawking’s football boots ⭐️,Balls ,34,43,Lose,0,1,10.0,0,10.0,5.0,-5.0,9
ManéBall ⭐️⭐️⭐️Andy Uttley,Leif it out,55,41,Win,3,1,1.0,3,1.0,6.5,5.5,14
Leif it out,ManéBall ⭐️⭐️⭐️Andy Uttley,41,55,Lose,0,1,6.0,1,6.5,1.0,-5.5,14
In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,Warren Barton's Bowl Cut,44,59,Lose,0,2,8.0,0,8.5,1.0,-7.5,15
Warren Barton's Bowl Cut,In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,59,44,Win,3,2,1.0,3,1.0,8.5,7.5,15
Shaw's Wank Redemption ⭐️,Toney Rocky HorrorMikey Wade,44,46,Lose,0,2,8.0,0,8.5,6.0,-2.5,2
Toney Rocky HorrorMikey Wade,Shaw's Wank Redemption ⭐️,46,44,Win,3,2,5.0,1,6.0,8.5,2.5,2
Fish⭐⭐⭐⭐,Stephen Hawking’s football boots ⭐️,29,52,Lose,0,2,10.0,0,10.0,3.0,-7.0,23
Stephen Hawking’s football boots ⭐️,Fish⭐⭐⭐⭐,52,29,Win,3,2,3.0,3,3.0,10.0,7.0,23
Team Marsh,Leif it out,50,46,Win,3,2,4.0,3,4.0,6.0,2.0,4
Leif it out,Team Marsh,46,50,Lose,0,2,5.0,1,6.0,4.0,-2.0,4
Balls ,ManéBall ⭐️⭐️⭐️Andy Uttley,57,46,Win,3,2,2.0,3,2.0,6.0,4.0,11
ManéBall ⭐️⭐️⭐️Andy Uttley,Balls ,46,57,Lose,0,2,5.0,1,6.0,2.0,-4.0,11
In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,Toney Rocky HorrorMikey Wade,34,38,Lose,0,3,5.0,1,6.0,4.0,-2.0,4
Toney Rocky HorrorMikey Wade,In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,38,34,Win,3,3,4.0,3,4.0,6.0,2.0,4
Warren Barton's Bowl Cut,Stephen Hawking’s football boots ⭐️,34,28,Win,3,3,5.0,1,6.0,9.0,3.0,6
Stephen Hawking’s football boots ⭐️,Warren Barton's Bowl Cut,28,34,Lose,0,3,9.0,0,9.0,6.0,-3.0,6
Shaw's Wank Redemption ⭐️,Leif it out,39,60,Lose,0,3,3.0,3,3.0,1.0,-2.0,21
Leif it out,Shaw's Wank Redemption ⭐️,60,39,Win,3,3,1.0,3,1.0,3.0,2.0,21
Fish⭐⭐⭐⭐,ManéBall ⭐️⭐️⭐️Andy Uttley,33,44,Lose,0,3,8.0,0,8.0,2.0,-6.0,11
